app_id,data_type,purpose,privacy_type,data_category
1489698531,Product Interaction,App Functionality,Data Not Linked to You,Usage Data
1489698531,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
405028510,Product Interaction,Analytics,Data Linked to You,Usage Data
405028510,Physical Address,App Functionality,Data Linked to You,Contact Info
405028510,Email Address,App Functionality,Data Linked to You,Contact Info
405028510,Name,App Functionality,Data Linked to You,Contact Info
405028510,Phone Number,App Functionality,Data Linked to You,Contact Info
405028510,User ID,App Functionality,Data Linked to You,Identifiers
405028510,Product Interaction,App Functionality,Data Linked to You,Usage Data
405028510,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
6479699008,,,Data Not Collected,
1547800025,Product Interaction,Analytics,Data Not Linked to You,Usage Data
1605558336,User ID,,Data Used to Track You,Identifiers
1605558336,Product Interaction,,Data Used to Track You,Usage Data
1605558336,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
1605558336,User ID,Analytics,Data Linked to You,Identifiers
1605558336,Email Address,App Functionality,Data Linked to You,Contact Info
1605558336,Name,App Functionality,Data Linked to You,Contact Info
1605558336,User ID,App Functionality,Data Linked to You,Identifiers
1605558336,Product Interaction,Analytics,Data Not Linked to You,Usage Data
1605558336,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
1605558336,Performance Data,App Functionality,Data Not Linked to You,Diagnostics
1605558336,Other Diagnostic Data,App Functionality,Data Not Linked to You,Diagnostics
6448279734,Purchase History,App Functionality,Data Not Linked to You,Purchases
6448279734,User ID,App Functionality,Data Not Linked to You,Identifiers
6448279734,Product Interaction,App Functionality,Data Not Linked to You,Usage Data
6445987502,Advertising Data,,Data Used to Track You,Usage Data
6445987502,Advertising Data,Developer’s Advertising or Marketing,Data Not Linked to You,Usage Data
6445987502,Product Interaction,Analytics,Data Not Linked to You,Usage Data
6445987502,Purchase History,App Functionality,Data Not Linked to You,Purchases
6445987502,Photos or Videos,App Functionality,Data Not Linked to You,User Content
6445987502,User ID,App Functionality,Data Not Linked to You,Identifiers
6445987502,Device ID,App Functionality,Data Not Linked to You,Identifiers
6445987502,Product Interaction,App Functionality,Data Not Linked to You,Usage Data
6445987502,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
6476882081,User ID,Analytics,Data Not Linked to You,Identifiers
6476882081,Product Interaction,Analytics,Data Not Linked to You,Usage Data
751712884,Coarse Location,,Data Used to Track You,Location
751712884,Email Address,,Data Used to Track You,Contact Info
751712884,Name,,Data Used to Track You,Contact Info
751712884,Search History,,Data Used to Track You,Search History
751712884,User ID,,Data Used to Track You,Identifiers
751712884,Device ID,,Data Used to Track You,Identifiers
751712884,Product Interaction,,Data Used to Track You,Usage Data
751712884,Advertising Data,,Data Used to Track You,Usage Data
751712884,Coarse Location,Third-Party Advertising,Data Linked to You,Location
751712884,Email Address,Third-Party Advertising,Data Linked to You,Contact Info
751712884,Name,Third-Party Advertising,Data Linked to You,Contact Info
751712884,Search History,Third-Party Advertising,Data Linked to You,Search History
751712884,User ID,Third-Party Advertising,Data Linked to You,Identifiers
751712884,Device ID,Third-Party Advertising,Data Linked to You,Identifiers
751712884,Product Interaction,Third-Party Advertising,Data Linked to You,Usage Data
751712884,Advertising Data,Third-Party Advertising,Data Linked to You,Usage Data
751712884,Coarse Location,Developer’s Advertising or Marketing,Data Linked to You,Location
751712884,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
751712884,Name,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
751712884,Search History,Developer’s Advertising or Marketing,Data Linked to You,Search History
751712884,User ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
751712884,Device ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
751712884,Product Interaction,Developer’s Advertising or Marketing,Data Linked to You,Usage Data
751712884,Advertising Data,Developer’s Advertising or Marketing,Data Linked to You,Usage Data
751712884,Coarse Location,Analytics,Data Linked to You,Location
751712884,Email Address,Analytics,Data Linked to You,Contact Info
751712884,Name,Analytics,Data Linked to You,Contact Info
751712884,Search History,Analytics,Data Linked to You,Search History
751712884,User ID,Analytics,Data Linked to You,Identifiers
751712884,Device ID,Analytics,Data Linked to You,Identifiers
751712884,Product Interaction,Analytics,Data Linked to You,Usage Data
751712884,Advertising Data,Analytics,Data Linked to You,Usage Data
751712884,Other Data Types,Analytics,Data Linked to You,Other Data
751712884,Coarse Location,Product Personalization,Data Linked to You,Location
751712884,Email Address,Product Personalization,Data Linked to You,Contact Info
751712884,Name,Product Personalization,Data Linked to You,Contact Info
751712884,Search History,Product Personalization,Data Linked to You,Search History
751712884,User ID,Product Personalization,Data Linked to You,Identifiers
751712884,Device ID,Product Personalization,Data Linked to You,Identifiers
751712884,Product Interaction,Product Personalization,Data Linked to You,Usage Data
751712884,Advertising Data,Product Personalization,Data Linked to You,Usage Data
751712884,Other Data Types,Product Personalization,Data Linked to You,Other Data
751712884,Coarse Location,App Functionality,Data Linked to You,Location
751712884,Email Address,App Functionality,Data Linked to You,Contact Info
751712884,Name,App Functionality,Data Linked to You,Contact Info
751712884,User ID,App Functionality,Data Linked to You,Identifiers
751712884,Device ID,App Functionality,Data Linked to You,Identifiers
751712884,Product Interaction,App Functionality,Data Linked to You,Usage Data
751712884,Advertising Data,App Functionality,Data Linked to You,Usage Data
751712884,Other Data Types,App Functionality,Data Linked to You,Other Data
751712884,Crash Data,Third-Party Advertising,Data Not Linked to You,Diagnostics
751712884,Performance Data,Third-Party Advertising,Data Not Linked to You,Diagnostics
751712884,Other Diagnostic Data,Third-Party Advertising,Data Not Linked to You,Diagnostics
751712884,Crash Data,Developer’s Advertising or Marketing,Data Not Linked to You,Diagnostics
751712884,Performance Data,Developer’s Advertising or Marketing,Data Not Linked to You,Diagnostics
751712884,Other Diagnostic Data,Developer’s Advertising or Marketing,Data Not Linked to You,Diagnostics
751712884,Crash Data,Analytics,Data Not Linked to You,Diagnostics
751712884,Performance Data,Analytics,Data Not Linked to You,Diagnostics
751712884,Other Diagnostic Data,Analytics,Data Not Linked to You,Diagnostics
751712884,Crash Data,Product Personalization,Data Not Linked to You,Diagnostics
751712884,Performance Data,Product Personalization,Data Not Linked to You,Diagnostics
751712884,Other Diagnostic Data,Product Personalization,Data Not Linked to You,Diagnostics
751712884,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
751712884,Performance Data,App Functionality,Data Not Linked to You,Diagnostics
751712884,Other Diagnostic Data,App Functionality,Data Not Linked to You,Diagnostics
6476312652,,,Data Not Collected,
1449511522,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
1406371071,Product Interaction,Analytics,Data Not Linked to You,Usage Data
1406371071,Crash Data,Analytics,Data Not Linked to You,Diagnostics
6499172465,Purchase History,Analytics,Data Not Linked to You,Purchases
6499172465,Purchase History,App Functionality,Data Not Linked to You,Purchases
530168168,Purchase History,,Data Used to Track You,Purchases
530168168,Coarse Location,,Data Used to Track You,Location
530168168,Email Address,,Data Used to Track You,Contact Info
530168168,Other User Contact Info,,Data Used to Track You,Contact Info
530168168,User ID,,Data Used to Track You,Identifiers
530168168,Purchase History,Third-Party Advertising,Data Linked to You,Purchases
530168168,Coarse Location,Third-Party Advertising,Data Linked to You,Location
530168168,Email Address,Third-Party Advertising,Data Linked to You,Contact Info
530168168,User ID,Third-Party Advertising,Data Linked to You,Identifiers
530168168,Device ID,Third-Party Advertising,Data Linked to You,Identifiers
530168168,Product Interaction,Third-Party Advertising,Data Linked to You,Usage Data
530168168,Advertising Data,Third-Party Advertising,Data Linked to You,Usage Data
530168168,Other Usage Data,Third-Party Advertising,Data Linked to You,Usage Data
530168168,Purchase History,Developer’s Advertising or Marketing,Data Linked to You,Purchases
530168168,Coarse Location,Developer’s Advertising or Marketing,Data Linked to You,Location
530168168,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
530168168,Name,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
530168168,Other User Contact Info,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
530168168,User ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
530168168,Device ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
530168168,Product Interaction,Developer’s Advertising or Marketing,Data Linked to You,Usage Data
530168168,Advertising Data,Developer’s Advertising or Marketing,Data Linked to You,Usage Data
530168168,Other Usage Data,Developer’s Advertising or Marketing,Data Linked to You,Usage Data
530168168,Purchase History,Analytics,Data Linked to You,Purchases
530168168,Coarse Location,Analytics,Data Linked to You,Location
530168168,Email Address,Analytics,Data Linked to You,Contact Info
530168168,Other User Contact Info,Analytics,Data Linked to You,Contact Info
530168168,Customer Support,Analytics,Data Linked to You,User Content
530168168,User ID,Analytics,Data Linked to You,Identifiers
530168168,Device ID,Analytics,Data Linked to You,Identifiers
530168168,Product Interaction,Analytics,Data Linked to You,Usage Data
530168168,Advertising Data,Analytics,Data Linked to You,Usage Data
530168168,Other Usage Data,Analytics,Data Linked to You,Usage Data
530168168,Crash Data,Analytics,Data Linked to You,Diagnostics
530168168,Performance Data,Analytics,Data Linked to You,Diagnostics
530168168,Other Diagnostic Data,Analytics,Data Linked to You,Diagnostics
530168168,Other Data Types,Analytics,Data Linked to You,Other Data
530168168,Name,Product Personalization,Data Linked to You,Contact Info
530168168,User ID,Product Personalization,Data Linked to You,Identifiers
530168168,Purchase History,App Functionality,Data Linked to You,Purchases
530168168,Coarse Location,App Functionality,Data Linked to You,Location
530168168,Email Address,App Functionality,Data Linked to You,Contact Info
530168168,Customer Support,App Functionality,Data Linked to You,User Content
530168168,User ID,App Functionality,Data Linked to You,Identifiers
530168168,Device ID,App Functionality,Data Linked to You,Identifiers
530168168,Product Interaction,App Functionality,Data Linked to You,Usage Data
530168168,Other Usage Data,App Functionality,Data Linked to You,Usage Data
530168168,Crash Data,App Functionality,Data Linked to You,Diagnostics
530168168,Performance Data,App Functionality,Data Linked to You,Diagnostics
530168168,Other Diagnostic Data,App Functionality,Data Linked to You,Diagnostics
530168168,Other Data Types,App Functionality,Data Linked to You,Other Data
530168168,Search History,Analytics,Data Not Linked to You,Search History
530168168,Precise Location,Product Personalization,Data Not Linked to You,Location
530168168,Precise Location,App Functionality,Data Not Linked to You,Location
6444380323,Device ID,Analytics,Data Not Linked to You,Identifiers
6444380323,Product Interaction,Analytics,Data Not Linked to You,Usage Data
6484504330,,,Data Not Collected,
1183059317,Device ID,App Functionality,Data Not Linked to You,Identifiers
1183059317,Other Usage Data,App Functionality,Data Not Linked to You,Usage Data
1183059317,Other Diagnostic Data,App Functionality,Data Not Linked to You,Diagnostics
6477874436,,,Data Not Collected,
1603247748,,,Data Not Collected,
6466659366,,,Data Not Collected,
6446608944,,,Data Not Collected,
1465687472,,,Data Not Collected,
6480038330,,,Data Not Collected,
1630781823,Crash Data,Analytics,Data Not Linked to You,Diagnostics
1448744070,Email Address,App Functionality,Data Linked to You,Contact Info
1448744070,Name,App Functionality,Data Linked to You,Contact Info
1448744070,User ID,App Functionality,Data Linked to You,Identifiers
1448744070,Device ID,App Functionality,Data Linked to You,Identifiers
1448744070,Crash Data,App Functionality,Data Linked to You,Diagnostics
6474424557,,,Data Not Collected,
6476788209,Device ID,Analytics,Data Not Linked to You,Identifiers
6476788209,Product Interaction,Analytics,Data Not Linked to You,Usage Data
1469995354,,,Data Not Collected,
364269164,Device ID,,Data Used to Track You,Identifiers
364269164,Precise Location,Developer’s Advertising or Marketing,Data Linked to You,Location
364269164,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
364269164,Device ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
364269164,Product Interaction,Developer’s Advertising or Marketing,Data Linked to You,Usage Data
364269164,Precise Location,Analytics,Data Linked to You,Location
364269164,Customer Support,Analytics,Data Linked to You,User Content
364269164,Search History,Analytics,Data Linked to You,Search History
364269164,User ID,Analytics,Data Linked to You,Identifiers
364269164,Device ID,Analytics,Data Linked to You,Identifiers
364269164,Product Interaction,Analytics,Data Linked to You,Usage Data
364269164,Crash Data,Analytics,Data Linked to You,Diagnostics
364269164,Performance Data,Analytics,Data Linked to You,Diagnostics
364269164,Precise Location,Product Personalization,Data Linked to You,Location
364269164,Email Address,Product Personalization,Data Linked to You,Contact Info
364269164,Name,Product Personalization,Data Linked to You,Contact Info
364269164,Search History,Product Personalization,Data Linked to You,Search History
364269164,User ID,Product Personalization,Data Linked to You,Identifiers
364269164,Product Interaction,Product Personalization,Data Linked to You,Usage Data
364269164,Precise Location,App Functionality,Data Linked to You,Location
364269164,Email Address,App Functionality,Data Linked to You,Contact Info
364269164,Search History,App Functionality,Data Linked to You,Search History
364269164,User ID,App Functionality,Data Linked to You,Identifiers
364269164,Product Interaction,App Functionality,Data Linked to You,Usage Data
6475752732,,,Data Not Collected,
6443868157,,,Data Not Collected,
6479207869,Product Interaction,Developer’s Advertising or Marketing,Data Not Linked to You,Usage Data
6479207869,Purchase History,Analytics,Data Not Linked to You,Purchases
6479207869,User ID,Analytics,Data Not Linked to You,Identifiers
6479207869,Device ID,Analytics,Data Not Linked to You,Identifiers
6479207869,Product Interaction,Analytics,Data Not Linked to You,Usage Data
6479207869,Product Interaction,Product Personalization,Data Not Linked to You,Usage Data
6479207869,Purchase History,App Functionality,Data Not Linked to You,Purchases
6478897915,Product Interaction,Analytics,Data Not Linked to You,Usage Data
6478897915,Performance Data,Analytics,Data Not Linked to You,Diagnostics
6478897915,Product Interaction,App Functionality,Data Not Linked to You,Usage Data
6478897915,Performance Data,App Functionality,Data Not Linked to You,Diagnostics
711503134,,,Data Not Collected,
6446053076,Product Interaction,Analytics,Data Not Linked to You,Usage Data
6446053076,Other Usage Data,Analytics,Data Not Linked to You,Usage Data
6446053076,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
6480134993,Customer Support,Developer’s Advertising or Marketing,Data Not Linked to You,User Content
6480134993,Other User Content,Developer’s Advertising or Marketing,Data Not Linked to You,User Content
6480134993,User ID,Developer’s Advertising or Marketing,Data Not Linked to You,Identifiers
6480134993,Device ID,Developer’s Advertising or Marketing,Data Not Linked to You,Identifiers
6480134993,Product Interaction,Developer’s Advertising or Marketing,Data Not Linked to You,Usage Data
6480134993,Purchase History,Analytics,Data Not Linked to You,Purchases
6480134993,Product Interaction,Analytics,Data Not Linked to You,Usage Data
6476831214,,,Data Not Collected,
6475752596,,,Data Not Collected,
1672356376,Device ID,Analytics,Data Not Linked to You,Identifiers
1672356376,Product Interaction,Analytics,Data Not Linked to You,Usage Data
6477200179,,,Data Not Collected,
961390574,Purchase History,App Functionality,Data Not Linked to You,Purchases
961390574,Precise Location,App Functionality,Data Not Linked to You,Location
961390574,User ID,App Functionality,Data Not Linked to You,Identifiers
961390574,Device ID,App Functionality,Data Not Linked to You,Identifiers
961390574,Product Interaction,App Functionality,Data Not Linked to You,Usage Data
6477783956,,,Data Not Collected,
6477862240,,,Data Not Collected,
6472360919,Search History,Developer’s Advertising or Marketing,Data Linked to You,Search History
6472360919,Device ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
6472360919,Product Interaction,Developer’s Advertising or Marketing,Data Linked to You,Usage Data
6472360919,Crash Data,Developer’s Advertising or Marketing,Data Linked to You,Diagnostics
6472360919,Other Diagnostic Data,Developer’s Advertising or Marketing,Data Linked to You,Diagnostics
6472360919,Precise Location,Analytics,Data Linked to You,Location
6472360919,Coarse Location,Analytics,Data Linked to You,Location
6472360919,Search History,Analytics,Data Linked to You,Search History
6472360919,Product Interaction,Analytics,Data Linked to You,Usage Data
6472360919,Crash Data,Analytics,Data Linked to You,Diagnostics
6472360919,Performance Data,Analytics,Data Linked to You,Diagnostics
6472360919,Precise Location,Product Personalization,Data Linked to You,Location
6472360919,Coarse Location,Product Personalization,Data Linked to You,Location
6472360919,Search History,Product Personalization,Data Linked to You,Search History
6472360919,Precise Location,App Functionality,Data Linked to You,Location
6472360919,Coarse Location,App Functionality,Data Linked to You,Location
6472360919,Search History,App Functionality,Data Linked to You,Search History
1598173381,,,Data Not Collected,
1523682319,Coarse Location,Third-Party Advertising,Data Not Linked to You,Location
1523682319,Device ID,Third-Party Advertising,Data Not Linked to You,Identifiers
1523682319,Product Interaction,Third-Party Advertising,Data Not Linked to You,Usage Data
1523682319,Advertising Data,Third-Party Advertising,Data Not Linked to You,Usage Data
1523682319,Crash Data,Third-Party Advertising,Data Not Linked to You,Diagnostics
1523682319,Performance Data,Third-Party Advertising,Data Not Linked to You,Diagnostics
1523682319,Purchase History,Analytics,Data Not Linked to You,Purchases
1523682319,Coarse Location,Analytics,Data Not Linked to You,Location
1523682319,Device ID,Analytics,Data Not Linked to You,Identifiers
1523682319,Product Interaction,Analytics,Data Not Linked to You,Usage Data
1523682319,Advertising Data,Analytics,Data Not Linked to You,Usage Data
1523682319,Crash Data,Analytics,Data Not Linked to You,Diagnostics
1523682319,Performance Data,Analytics,Data Not Linked to You,Diagnostics
1523682319,Other Diagnostic Data,Analytics,Data Not Linked to You,Diagnostics
1523682319,Purchase History,App Functionality,Data Not Linked to You,Purchases
1523682319,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
6478182067,,,Data Not Collected,
6478015121,,,Data Not Collected,
1591269922,Crash Data,Analytics,Data Not Linked to You,Diagnostics
1591269922,Purchase History,App Functionality,Data Not Linked to You,Purchases
6476047156,Product Interaction,App Functionality,Data Not Linked to You,Usage Data
6476902378,,,Data Not Collected,
1502142828,Name,Analytics,Data Linked to You,Contact Info
1502142828,Email Address,App Functionality,Data Linked to You,Contact Info
1502142828,Name,App Functionality,Data Linked to You,Contact Info
1502142828,Photos or Videos,App Functionality,Data Linked to You,User Content
1502142828,User ID,App Functionality,Data Linked to You,Identifiers
1502142828,Crash Data,Analytics,Data Not Linked to You,Diagnostics
1502142828,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
6477764879,,,Data Not Collected,
978589174,Product Interaction,Analytics,Data Not Linked to You,Usage Data
978589174,Precise Location,App Functionality,Data Not Linked to You,Location
978589174,Coarse Location,App Functionality,Data Not Linked to You,Location
978589174,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
978589174,Performance Data,App Functionality,Data Not Linked to You,Diagnostics
978589174,Other Diagnostic Data,App Functionality,Data Not Linked to You,Diagnostics
1620283380,,,Data Not Collected,
1051726944,,,Data Not Collected,
546505307,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
546505307,Name,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
546505307,User ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
546505307,Email Address,Analytics,Data Linked to You,Contact Info
546505307,Emails or Text Messages,Analytics,Data Linked to You,User Content
546505307,Photos or Videos,Analytics,Data Linked to You,User Content
546505307,Audio Data,Analytics,Data Linked to You,User Content
546505307,Customer Support,Analytics,Data Linked to You,User Content
546505307,User ID,Analytics,Data Linked to You,Identifiers
546505307,Product Interaction,Analytics,Data Linked to You,Usage Data
546505307,Crash Data,Analytics,Data Linked to You,Diagnostics
546505307,Performance Data,Analytics,Data Linked to You,Diagnostics
546505307,Other Diagnostic Data,Analytics,Data Linked to You,Diagnostics
546505307,Precise Location,App Functionality,Data Linked to You,Location
546505307,Coarse Location,App Functionality,Data Linked to You,Location
546505307,Email Address,App Functionality,Data Linked to You,Contact Info
546505307,Name,App Functionality,Data Linked to You,Contact Info
546505307,Phone Number,App Functionality,Data Linked to You,Contact Info
546505307,Emails or Text Messages,App Functionality,Data Linked to You,User Content
546505307,Photos or Videos,App Functionality,Data Linked to You,User Content
546505307,Audio Data,App Functionality,Data Linked to You,User Content
546505307,Customer Support,App Functionality,Data Linked to You,User Content
546505307,User ID,App Functionality,Data Linked to You,Identifiers
546505307,Device ID,App Functionality,Data Linked to You,Identifiers
546505307,Crash Data,App Functionality,Data Linked to You,Diagnostics
546505307,Performance Data,App Functionality,Data Linked to You,Diagnostics
546505307,Other Diagnostic Data,App Functionality,Data Linked to You,Diagnostics
6450510658,,,Data Not Collected,
6468541457,Device ID,Analytics,Data Not Linked to You,Identifiers
6468541457,Product Interaction,Analytics,Data Not Linked to You,Usage Data
700695106,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
700695106,Purchase History,App Functionality,Data Linked to You,Purchases
700695106,Email Address,App Functionality,Data Linked to You,Contact Info
700695106,Other User Content,App Functionality,Data Linked to You,User Content
700695106,User ID,App Functionality,Data Linked to You,Identifiers
6458221141,,,Data Not Collected,
6463897900,Product Interaction,Analytics,Data Not Linked to You,Usage Data
6463897900,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
1403144098,Name,Analytics,Data Linked to You,Contact Info
1403144098,Health,Product Personalization,Data Linked to You,Health & Fitness
1403144098,Health,App Functionality,Data Linked to You,Health & Fitness
1403144098,Email Address,App Functionality,Data Linked to You,Contact Info
1403144098,Name,Other Purposes,Data Linked to You,Contact Info
1403144098,Device ID,Analytics,Data Not Linked to You,Identifiers
1403144098,Device ID,Product Personalization,Data Not Linked to You,Identifiers
1403144098,Device ID,App Functionality,Data Not Linked to You,Identifiers
1403144098,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
1403144098,Performance Data,App Functionality,Data Not Linked to You,Diagnostics
6476447511,,,Data Not Collected,
6477896692,,,Data Not Collected,
6446116532,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
6446116532,Purchase History,App Functionality,Data Linked to You,Purchases
6446116532,Email Address,App Functionality,Data Linked to You,Contact Info
6446116532,User ID,App Functionality,Data Linked to You,Identifiers
