app_id,policy_file,entity,action,data_type,sentence_preview
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,We do not share your personally identifiable data with any third-party advertisers or ad networks for third-party advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,We do not share your personally identifiable data with any third-party advertisers or ad networks for third-party advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,Disclosure of Your Information We do not sell or share your personal data with any third-party advertisers or ad networks for their advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,Disclosure of Your Information We do not sell or share your personal data with any third-party advertisers or ad networks for their advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,Disclosure of Your Information We do not sell or share your personal data with any third-party advertisers or ad networks for their advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,Disclosure of Your Information We do not sell or share your personal data with any third-party advertisers or ad networks for their advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,Disclosure of Your Information We do not sell or share your personal data with any third-party advertisers or ad networks for their advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,Disclosure of Your Information We do not sell or share your personal data with any third-party advertisers or ad networks for their advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,Disclosure of Your Information We do not sell or share your personal data with any third-party advertisers or ad networks for their advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,ad network,not_collect,pii,Disclosure of Your Information We do not sell or share your personal data with any third-party advertisers or ad networks for their advertising purposes.
282935706,282935706_bible_com_privacy_policy.json,facebook,collect,pii,"For example, you may start a new YouVersion Membership account by linking your Facebook account to YouVersion, providing personal information you have opted to share through Facebook to YouVersion."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,billing,"Otherwise, financial information provided to us online is processed by third party service providers as discussed in our Privacy Policy."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,"To the extent you choose to provide sensitive information to us through your use of our services, we will process it only with your consent."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,usage info,"YouVersion allows users to publish, distribute, and display certain content (we refer to that as ""posted"" and the content as ""posts"")."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,usage info,"YouVersion allows users to publish, distribute, and display certain content (we refer to that as ""posted"" and the content as ""posts"")."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,usage info,"YouVersion allows users to publish, distribute, and display certain content (we refer to that as ""posted"" and the content as ""posts"")."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,billing,"If you choose to provide a voluntary donation through YouVersion or a third-party website linked to YouVersion, then and only then will you be prompted and required to provide credit card, bank accoun"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,person name,"If you designate a donation to an institution other than YouVersion, to facilitate your donation, we share your name, email, mailing address, and phone number with the designated institution as well a"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,email addr,"If you designate a donation to an institution other than YouVersion, to facilitate your donation, we share your name, email, mailing address, and phone number with the designated institution as well a"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,billing,"If you designate a donation to an institution other than YouVersion, to facilitate your donation, we share your name, email, mailing address, and phone number with the designated institution as well a"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,usage time,"If you designate a donation to an institution other than YouVersion, to facilitate your donation, we share your name, email, mailing address, and phone number with the designated institution as well a"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,geo location,"If you designate a donation to an institution other than YouVersion, to facilitate your donation, we share your name, email, mailing address, and phone number with the designated institution as well a"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,phone num,"If you designate a donation to an institution other than YouVersion, to facilitate your donation, we share your name, email, mailing address, and phone number with the designated institution as well a"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,information,"These third parties may place their own cookies or other files on your computer, collect data, or solicit personal information from you."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,information,These third parties may use this information to provide you with interest-based targeted content.
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,We do not sell your personal information to any third parties nor allow our SDK service providers to sell your personal information to third parties or use your personal information to solicit the sal
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,We do not sell your personal information to any third parties nor allow our SDK service providers to sell your personal information to third parties or use your personal information to solicit the sal
282935706,282935706_bible_com_privacy_policy.json,third party,collect,information,This information is used to provide an optimized user experience by providing higher resolution media to a user who is on a high-speed WiFi connection rather than a cellular network.
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,"How We Use Your Information We use data that we collect about you and that you provide as well as the inferences we make from that information as follows to provide, support, and personalize YouVersio"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,information,"How We Use Your Information We use data that we collect about you and that you provide as well as the inferences we make from that information as follows to provide, support, and personalize YouVersio"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,usage info,"YouVersion will allow you to communicate and connect with other YouVersion users to share Bible verses, User Contributions, and other content."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,geo location,We share your specific location only with your consent.
282935706,282935706_bible_com_privacy_policy.json,third party,collect,information,"If you choose to make certain location-related information viewable to your friends or the public, you give explicit consent for us to share that information with the audience you specify."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,information,Access to the storage of your device is only used by YouVersion for downloading this requested content to your device.
282935706,282935706_bible_com_privacy_policy.json,third party,collect,information,We may combine the information you provide us with information we collect through other YouVersion services and products and the inferences we make from the same for our internal development to improv
282935706,282935706_bible_com_privacy_policy.json,third party,collect,non-pii,We may disclose use of YouVersion content in an aggregated manner with de-identified and anonymized information that does not disclose any particular user or that user's personally-identifying informa
282935706,282935706_bible_com_privacy_policy.json,third party,collect,non-pii,We may disclose use of YouVersion content in an aggregated manner with de-identified and anonymized information that does not disclose any particular user or that user's personally-identifying informa
282935706,282935706_bible_com_privacy_policy.json,third party,collect,information,"When you see stats we share publicly such as global YouVersion engagement, we make sure to analyze and publish the data in an aggregated form, protecting your privacy and keeping your identity and per"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,"We do not require that users provide information about such beliefs or provide any other sensitive data such as race, ethnicity, philosophical beliefs, or physical or mental health to use YouVersion o"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,ethnic,"We do not require that users provide information about such beliefs or provide any other sensitive data such as race, ethnicity, philosophical beliefs, or physical or mental health to use YouVersion o"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,ethnic,"We do not require that users provide information about such beliefs or provide any other sensitive data such as race, ethnicity, philosophical beliefs, or physical or mental health to use YouVersion o"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,belief,"We do not require that users provide information about such beliefs or provide any other sensitive data such as race, ethnicity, philosophical beliefs, or physical or mental health to use YouVersion o"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,mental,"We do not require that users provide information about such beliefs or provide any other sensitive data such as race, ethnicity, philosophical beliefs, or physical or mental health to use YouVersion o"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,"We will not sell your sensitive personal information, but we may need to share it with third-party service providers that enable us to provide certain app features, and those service providers are req"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,"We will not sell your sensitive personal information, but we may need to share it with third-party service providers that enable us to provide certain app features, and those service providers are req"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,usage info,"If you choose to provide any sensitive information to us, we may use that information with other non-sensitive information you provide to create a more personalized YouVersion experience for you and t"
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,"We may disclose your personal information to third parties in order to process information as described above and otherwise enable our ability to provide YouVersion, as further discussed below."
282935706,282935706_bible_com_privacy_policy.json,third party,collect,pii,"We may disclose your personal information to third parties in order to process information as described above and otherwise enable our ability to provide YouVersion, as further discussed below."
