app_id,data_type,purpose,linked,tracking
1120099014,Device ID,Analytics,False,False
1120099014,Product Interaction,Analytics,False,False
6449408612,Product Interaction,Analytics,False,False
6449408612,Device ID,Analytics,False,False
6449408612,Device ID,App Functionality,False,False
6449408612,User ID,Analytics,False,False
6449408612,User ID,App Functionality,False,False
6449408612,Coarse Location,Analytics,False,False
6449408612,Email Address,Developer's Advertising or Marketing,False,False
1666653815,Name,Developer's Advertising or Marketing,True,True
1666653815,Name,Product Personalization,True,True
1666653815,Email Address,Third-Party Advertising,True,True
1666653815,Email Address,App Functionality,True,True
1666653815,Email Address,Product Personalization,True,True
1666653815,Email Address,Developer's Advertising or Marketing,True,True
1666653815,Other User Contact Info,Product Personalization,True,True
1666653815,Coarse Location,App Functionality,True,True
1666653815,Coarse Location,Developer's Advertising or Marketing,True,True
1666653815,Coarse Location,Analytics,True,True
1666653815,Coarse Location,Product Personalization,True,True
1666653815,Coarse Location,Third-Party Advertising,True,True
1666653815,Other User Content,Analytics,False,True
1666653815,Search History,Analytics,True,True
1666653815,Search History,Product Personalization,True,True
1666653815,Search History,App Functionality,True,True
1666653815,User ID,Analytics,True,True
1666653815,User ID,Product Personalization,True,True
1666653815,User ID,App Functionality,True,True
1666653815,User ID,Developer's Advertising or Marketing,True,True
1666653815,User ID,Third-Party Advertising,True,True
1666653815,Device ID,Analytics,True,True
1666653815,Device ID,Product Personalization,True,True
1666653815,Device ID,App Functionality,True,True
1666653815,Device ID,Developer's Advertising or Marketing,True,True
1666653815,Device ID,Third-Party Advertising,True,True
1666653815,Purchase History,Analytics,True,True
1666653815,Purchase History,Product Personalization,True,True
1666653815,Purchase History,App Functionality,True,True
1666653815,Purchase History,Developer's Advertising or Marketing,True,True
1666653815,Purchase History,Third-Party Advertising,True,True
1666653815,Product Interaction,Analytics,True,True
1666653815,Product Interaction,Product Personalization,True,True
1666653815,Product Interaction,App Functionality,True,True
1666653815,Product Interaction,Developer's Advertising or Marketing,True,True
1666653815,Product Interaction,Third-Party Advertising,True,True
1666653815,Advertising Data,Analytics,True,True
1666653815,Advertising Data,Product Personalization,True,True
1666653815,Advertising Data,Developer's Advertising or Marketing,True,True
1666653815,Advertising Data,Third-Party Advertising,True,True
1666653815,Other Usage Data,App Functionality,False,True
1666653815,Crash Data,App Functionality,True,True
1666653815,Crash Data,Analytics,True,True
1666653815,Performance Data,App Functionality,True,True
1666653815,Performance Data,Analytics,True,True
1666653815,Other Diagnostic Data,App Functionality,False,True
1666653815,Other Diagnostic Data,Analytics,False,True
1666653815,Other Data Types,App Functionality,True,True
1666653815,Other Data Types,Developer's Advertising or Marketing,True,True
1666653815,Other Data Types,Analytics,True,True
1663047912,Crash Data,App Functionality,False,False
1663047912,Device ID,App Functionality,False,False
1663047912,User ID,App Functionality,False,False
6446116532,Other Diagnostic Data,App Functionality,False,False
6446116532,Purchase History,App Functionality,True,False
6446116532,Device ID,App Functionality,True,False
6446116532,User ID,App Functionality,True,False
6446116532,Email Address,Developer's Advertising or Marketing,True,False
6446116532,Email Address,App Functionality,True,False
405028510,Name,App Functionality,True,False
405028510,Phone Number,App Functionality,True,False
405028510,Physical Address,App Functionality,True,False
405028510,Email Address,App Functionality,True,True
405028510,Other User Contact Info,App Functionality,True,False
405028510,Performance Data,App Functionality,True,True
405028510,Crash Data,App Functionality,True,False
405028510,Product Interaction,App Functionality,True,True
405028510,Product Interaction,Analytics,True,True
405028510,User ID,Analytics,True,True
867539680,,,False,False
6473833932,Other Diagnostic Data,App Functionality,True,False
6473833932,Other Diagnostic Data,Analytics,True,False
6473833932,Performance Data,App Functionality,True,False
6473833932,Crash Data,App Functionality,True,False
6473833932,Other Usage Data,Analytics,True,False
6473833932,Other Usage Data,App Functionality,True,False
6473833932,Other Usage Data,Product Personalization,True,False
6473833932,Product Interaction,Analytics,True,False
6473833932,Product Interaction,App Functionality,True,False
6473833932,Product Interaction,Developer's Advertising or Marketing,True,False
6473833932,Device ID,Analytics,True,False
6473833932,Device ID,App Functionality,True,False
6473833932,Device ID,Developer's Advertising or Marketing,True,False
6473833932,Device ID,Product Personalization,True,False
6473833932,User ID,Analytics,True,False
6473833932,User ID,App Functionality,True,False
6473833932,User ID,Developer's Advertising or Marketing,True,False
6473833932,User ID,Product Personalization,True,False
6473833932,Search History,App Functionality,True,False
6473833932,Search History,Analytics,True,False
6473833932,Other User Content,App Functionality,True,False
6473833932,Other User Content,Product Personalization,True,False
6473833932,Photosor Videos,App Functionality,True,False
6473833932,Emails Or Text Messages,App Functionality,True,False
6473833932,Contacts,App Functionality,True,False
6473833932,Contacts,Analytics,True,False
6473833932,Contacts,Product Personalization,True,False
6473833932,Coarse Location,App Functionality,True,False
6473833932,Precise Location,App Functionality,True,False
6446053076,Crash Data,App Functionality,False,False
6446053076,Other Usage Data,Analytics,False,False
6446053076,Product Interaction,Analytics,False,False
6448773500,Diagnostics,App functionality,False,False
1492055171,Device ID,App Functionality,True,True
1572102565,Product Interaction,Analytics,False,False
1346247457,Health,Product Personalization,True,False
1346247457,Health,App Functionality,True,False
1346247457,Coarse Location,Product Personalization,True,False
1346247457,Coarse Location,App Functionality,True,False
1346247457,User ID,Analytics,True,False
1346247457,User ID,Product Personalization,True,False
1346247457,User ID,App Functionality,True,False
1346247457,Device ID,Analytics,True,False
1346247457,Product Interaction,Analytics,True,False
1346247457,Product Interaction,Product Personalization,True,False
1346247457,Product Interaction,App Functionality,True,False
1346247457,Advertising Data,Analytics,True,False
6475262918,Email Address,App Functionality,True,False
6475262918,Email Address,Developer's Advertising or Marketing,True,False
6475262918,Precise Location,App Functionality,True,False
6475262918,Precise Location,Product Personalization,True,False
6475262918,Photosor Videos,App Functionality,True,False
6475262918,Search History,Analytics,True,False
6475262918,Search History,Product Personalization,True,False
6475262918,User ID,App Functionality,True,False
6475262918,Purchase History,App Functionality,True,False
6475262918,Purchase History,Analytics,True,False
6475262918,Product Interaction,Analytics,False,False
6475262918,Crash Data,Analytics,False,False
1448744070,Name,App Functionality,True,False
1448744070,Email Address,App Functionality,True,False
1448744070,User ID,App Functionality,True,False
1448744070,Device ID,App Functionality,True,False
1448744070,Other Diagnostic Data,App Functionality,True,False
6496682427,,,False,False
743843090,Name,App Functionality,True,False
743843090,Email Address,Analytics,True,False
743843090,Email Address,App Functionality,True,False
743843090,Payment Info,Analytics,False,False
743843090,Payment Info,App Functionality,False,False
743843090,User ID,Analytics,True,False
743843090,User ID,App Functionality,True,False
743843090,Device ID,Analytics,False,False
